Rank,Word_POS,Count
468,justice_NOUN,5227
469,ally_NOUN,5221
470,increase_VERB,5213
471,privacy_PROPN,5202
472,drug_NOUN,5195
473,relationship_NOUN,5184
474,congressional_ADJ,5179
475,phone_NOUN,5173
476,world_PROPN,5172
477,assad_PROPN,5172
478,george_PROPN,5170
479,drive_VERB,5164
480,act_VERB,5144
481,missile_NOUN,5136
482,judge_PROPN,5108
483,investigate_VERB,5094
484,arrest_VERB,5092
485,explain_VERB,5069
486,victim_NOUN,5066
487,iraq_PROPN,5066
488,seven_NUM,5057
489,enter_VERB,5053
490,defend_VERB,5029
491,nomination_NOUN,5019
492,advertisement_NOUN,5008
493,contact_NOUN,4974
494,chairman_NOUN,4969
495,request_NOUN,4963
496,force_VERB,4949
497,stay_VERB,4948
498,elect_VERB,4935
499,son_NOUN,4932
500,elect_PROPN,4928
501,department_NOUN,4924
502,council_PROPN,4924
503,represent_VERB,4923
504,example_NOUN,4907
505,policy_PROPN,4903
506,press_PROPN,4901
507,wife_NOUN,4885
508,watch_VERB,4846
509,conservative_NOUN,4839
510,cut_VERB,4837
511,forward_ADV,4817
512,conversation_NOUN,4811
513,charge_VERB,4797
514,return_VERB,4783
515,transition_NOUN,4782
516,publish_VERB,4765
517,step_NOUN,4763
518,regulation_NOUN,4762
519,ambassador_NOUN,4753
520,agenda_NOUN,4741
521,control_NOUN,4741
522,rate_NOUN,4726
523,nunes_PROPN,4713
524,chief_NOUN,4696
525,sit_VERB,4695
526,proposal_NOUN,4687
527,aide_NOUN,4686
528,conflict_NOUN,4673
529,sure_ADJ,4666
530,refuse_VERB,4661
531,recently_ADV,4643
532,keep_VERB,4623
533,house_NOUN,4621
534,course_NOUN,4616
535,military_NOUN,4613
536,choice_NOUN,4612
537,prosecutor_NOUN,4612
538,individual_NOUN,4599
539,james_PROPN,4584
540,general_NOUN,4583
541,gun_NOUN,4568
542,fire_VERB,4567
543,executive_NOUN,4562
544,cite_VERB,4561
545,promise_VERB,4553
546,governor_NOUN,4549
547,operation_NOUN,4547
548,criminal_ADJ,4537
549,health_PROPN,4529
550,reuters_PROPN,4516
551,spending_NOUN,4509
552,care_PROPN,4493
553,cover_VERB,4488
554,funding_NOUN,4485
555,father_NOUN,4458
556,d_PROPN,4451
557,allegation_NOUN,4443
558,financial_ADJ,4435
559,block_VERB,4424
560,cause_VERB,4422
561,tweet_VERB,4421
562,florida_PROPN,4419
563,west_PROPN,4413
564,especially_ADV,4402
565,target_VERB,4389
566,file_VERB,4387
567,cut_NOUN,4386
568,special_ADJ,4386
569,leadership_NOUN,4386
570,ground_NOUN,4380
571,outside_ADP,4363
572,mike_PROPN,4345
573,immediately_ADV,4342
574,fight_NOUN,4341
575,incident_NOUN,4340
576,bannon_PROPN,4339
577,terrorism_NOUN,4336
578,focus_VERB,4336
579,open_ADJ,4327
580,economy_NOUN,4326
581,attorney_PROPN,4319
582,david_PROPN,4311
583,list_NOUN,4280
584,identify_VERB,4279
585,attend_VERB,4279
586,post_VERB,4265
587,thousand_NOUN,4262
588,fund_NOUN,4261
589,detail_NOUN,4254
590,risk_NOUN,4251
591,like_VERB,4247
592,fall_VERB,4244
593,rights_PROPN,4238
594,agreement_NOUN,4238
595,race_NOUN,4237
596,future_NOUN,4236
597,promise_NOUN,4233
598,sanction_NOUN,4230
599,potential_ADJ,4227
600,certain_ADJ,4224
601,center_NOUN,4224
602,town_NOUN,4221
603,dow_PROPN,4208
604,prison_NOUN,4202
605,tie_NOUN,4195
606,choose_VERB,4189
607,human_ADJ,4189
608,express_VERB,4180
609,debate_NOUN,4180
610,million_NOUN,4170
611,movement_NOUN,4161
612,final_ADJ,4155
613,dollar_NOUN,4154
614,sign_NOUN,4153
615,medicaid_PROPN,4152
616,book_NOUN,4139
617,body_NOUN,4133
618,center_PROPN,4133
619,point_VERB,4124
620,november_PROPN,4121
621,access_NOUN,4108
622,king_PROPN,4106
623,datum_NOUN,4100
624,violence_NOUN,4099
625,talk_NOUN,4097
626,resident_NOUN,4093
627,criticize_VERB,4092
628,expert_NOUN,4090
629,deliver_VERB,4088
630,llc_PROPN,4087
631,effect_NOUN,4079
632,intelligence_PROPN,4073
633,address_VERB,4071
634,similar_ADJ,4071
635,class_NOUN,4070
636,abortion_NOUN,4062
637,near_ADP,4062
638,san_PROPN,4059
639,east_PROPN,4047
640,muslim_ADJ,4043
641,threaten_VERB,4042
642,situation_NOUN,4037
643,refer_VERB,4035
644,mother_NOUN,4026
645,soon_ADV,4025
646,simply_ADV,4013
647,europe_PROPN,4013
648,draw_VERB,4012
649,activity_NOUN,4001
650,bill_PROPN,3989
651,propose_VERB,3987
652,challenge_NOUN,3983
653,opportunity_NOUN,3976
654,address_NOUN,3976
655,will_VERB,3974
656,isis_PROPN,3973
657,approve_VERB,3962
658,comey_PROPN,3959
659,general_ADJ,3953
660,hit_VERB,3951
661,poll_NOUN,3946
662,district_NOUN,3944
663,true_ADJ,3935
664,crowd_NOUN,3918
665,capitol_PROPN,3916
666,remove_VERB,3916
667,decline_VERB,3915
668,minute_NOUN,3912
669,pull_VERB,3910
670,lawsuit_NOUN,3901
671,conduct_VERB,3895
672,climate_NOUN,3894
673,room_NOUN,3890
674,key_ADJ,3883
675,prevent_VERB,3883
676,russians_PROPN,3877
677,condition_NOUN,3874
678,income_NOUN,3868
679,bear_VERB,3866
680,ap_PROPN,3866
681,contribute_VERB,3847
682,jeff_PROPN,3846
683,value_NOUN,3836
684,warn_VERB,3828
685,shooting_NOUN,3825
686,february_PROPN,3824
687,seat_NOUN,3823
688,daughter_NOUN,3820
689,liberal_ADJ,3818
690,price_NOUN,3817
691,hill_PROPN,3809
692,accept_VERB,3797
693,dozen_NOUN,3794
694,session_NOUN,3783
695,attempt_NOUN,3780
696,repeal_NOUN,3767
697,stock_NOUN,3765
698,critic_NOUN,3764
699,commit_VERB,3747
700,resolution_NOUN,3742
701,water_NOUN,3741
702,industry_NOUN,3736
703,photo_NOUN,3734
704,international_PROPN,3730
705,article_NOUN,3723
706,face_NOUN,3722
707,buy_VERB,3718
708,wrong_ADJ,3706
709,option_NOUN,3705
710,safe_ADJ,3701
711,exist_VERB,3700
712,islamic_ADJ,3700
713,building_NOUN,3699
714,union_PROPN,3698
715,open_VERB,3693
716,victory_NOUN,3689
717,april_PROPN,3689
718,senator_PROPN,3686
719,site_NOUN,3685
720,determine_VERB,3682
721,walk_VERB,3680
722,sean_PROPN,3669
723,opinion_NOUN,3667
724,day_PROPN,3666
725,december_PROPN,3662
726,reduce_VERB,3650
727,public_NOUN,3650
728,air_NOUN,3648
729,sell_VERB,3638
730,order_VERB,3633
731,carolina_PROPN,3630
732,suspect_NOUN,3630
733,protester_NOUN,3630
734,quickly_ADV,3623
735,attack_VERB,3623
736,pick_VERB,3616
737,goal_NOUN,3615
738,wait_VERB,3599
739,state_VERB,3597
740,strike_NOUN,3587
741,rally_NOUN,3586
742,popular_ADJ,3586
743,religious_ADJ,3583
744,visa_NOUN,3576
745,reveal_VERB,3575
746,benefit_NOUN,3571
747,parent_NOUN,3567
748,street_NOUN,3563
749,virginia_PROPN,3563
750,declare_VERB,3554
751,difficult_ADJ,3553
752,rise_VERB,3552
753,war_PROPN,3552
754,apply_VERB,3549
755,capital_NOUN,3546
756,murder_NOUN,3535
757,probably_ADV,3529
758,chinese_ADJ,3525
759,service_PROPN,3520
760,arrive_VERB,3520
761,surveillance_NOUN,3512
762,freedom_PROPN,3498
763,global_ADJ,3496
764,sense_NOUN,3495
765,activist_NOUN,3487
766,schumer_PROPN,3483
767,significant_ADJ,3482
768,democratic_PROPN,3481
769,vehicle_NOUN,3476
770,act_NOUN,3475
771,answer_NOUN,3473
772,mcconnell_PROPN,3469
773,particularly_ADV,3468
774,previous_ADJ,3466
775,chance_NOUN,3449
776,moscow_PROPN,3447
777,ensure_VERB,3439
778,ruling_NOUN,3439
779,fear_NOUN,3439
780,police_PROPN,3437
781,communication_NOUN,3431
782,conway_PROPN,3428
783,prove_VERB,3407
784,argument_NOUN,3395
785,girl_NOUN,3394
786,approach_NOUN,3383
787,cia_PROPN,3383
788,peace_NOUN,3377
789,relation_NOUN,3366
790,israeli_ADJ,3350
791,regime_NOUN,3331
792,rule_VERB,3322
793,college_PROPN,3322
794,constitution_PROPN,3319
795,expand_VERB,3312
796,guy_NOUN,3307
797,minister_PROPN,3306
798,form_NOUN,3303
799,college_NOUN,3301
800,crisis_NOUN,3298
801,affordable_PROPN,3297
802,breitbart_PROPN,3296
